ENDEKS;DATE;SESSION;LOW;HIGH;CLOSE;USD BASED;EURO BASED
XU100;07.07.2003;1;10181.72;10502.88;10277.14;428.32;440.68
XU100;07.07.2003;2;10260.99;10351.83;10351.83;431.43;443.89
XU100;08.07.2003;1;10286.92;10468.69;10368.33;432.57;448.44
XU100;08.07.2003;2;10367.01;10546.88;10546.88;440.01;456.16
XU100;09.07.2003;1;10334.65;10546.88;10340.89;426.18;440.34
XU100;09.07.2003;2;10268.87;10373.16;10364.93;427.17;441.37
XU100;10.07.2003;1;10364.93;10460.44;10436.72;433.35;447.94
XU100;10.07.2003;2;10331.09;10467.79;10399.67;431.81;446.35
XU100;11.07.2003;1;10370.69;10538.18;10414.73;436.96;452.24
XU100;11.07.2003;2;10376.68;10460.9;10454.92;438.65;453.99
XU100;14.07.2003;1;10454.92;10636.35;10607.42;447.38;464.99
XU100;14.07.2003;2;10579.67;10712.99;10658.81;449.54;467.24
XU100;15.07.2003;1;10652.31;10767.67;10718.04;454.51;471.11
XU100;15.07.2003;2;10700.11;10924.01;10918.57;463.01;479.92
XU100;16.07.2003;1;10755.82;10993.27;10777.27;456.3;479.54
XU100;16.07.2003;2;10750.88;10856.63;10791.41;456.9;480.17
XU100;17.07.2003;1;10744.17;10861.37;10758.28;454.62;474.53
XU100;17.07.2003;2;10685.83;10808.61;10751.46;454.33;474.23
XU100;18.07.2003;1;10732.48;10830.61;10738.35;450;470.64
XU100;18.07.2003;2;10724.02;10856.85;10856.85;454.97;475.84
XU100;21.07.2003;1;10830.64;10925.83;10846.05;456.5;474.21
XU100;21.07.2003;2;10755.93;10846.05;10827.26;455.7;473.39
XU100;22.07.2003;1;10629.52;10827.26;10660.7;448.43;462.76
XU100;22.07.2003;2;10508.01;10663.49;10544.49;443.55;457.72
XU100;23.07.2003;1;10359;10544.49;10417.7;435.04;447.52
XU100;23.07.2003;2;10365.43;10495.61;10463.82;436.97;449.5
XU100;24.07.2003;1;10319.29;10463.82;10378.83;425.73;434.36
XU100;24.07.2003;2;10378.83;10556.41;10475.16;429.68;438.39
XU100;25.07.2003;1;10439.34;10515.43;10476.43;432.02;440.89
XU100;25.07.2003;2;10452.85;10561.33;10561.33;435.52;444.46
XU100;28.07.2003;1;10512.54;10596.6;10544.56;436.26;445.38
XU100;28.07.2003;2;10529.91;10620.15;10598.3;438.49;447.65
XU100;29.07.2003;1;10428.72;10598.3;10455.89;425.74;434.29
XU100;29.07.2003;2;10418.3;10486.77;10478.27;426.65;435.22
XU100;30.07.2003;1;10436.97;10530.94;10488.48;429.56;440.38
XU100;30.07.2003;2;10403.62;10488.48;10444.95;427.77;438.55
XU100;31.07.2003;1;10419.82;10550.41;10538.17;434.66;449.89
XU100;31.07.2003;2;10501.59;10572.04;10572.04;436.05;451.34
XU100;01.08.2003;1;10519.1;10595.31;10573.78;430.83;451.76
XU100;01.08.2003;2;10527.68;10652.11;10621.15;432.76;453.78
XU100;04.08.2003;1;10621.15;10998.88;10997.59;452.82;469.52
XU100;04.08.2003;2;10973.91;11150.82;11112.12;457.54;474.41
XU100;05.08.2003;1;11112.12;11516.23;11322.49;471.05;486.66
XU100;05.08.2003;2;11294.43;11511.9;11499.89;478.43;494.28
XU100;06.08.2003;1;11353.73;11584.19;11363.81;474.36;487.72
XU100;06.08.2003;2;11255.62;11419.43;11311.12;472.16;485.45
XU100;07.08.2003;1;11305.9;11468.74;11410.43;473.14;488.26
XU100;07.08.2003;2;11394.39;11571.58;11547.36;478.82;494.12
XU100;08.08.2003;1;11449.19;11579.91;11572.6;483.03;499.16
XU100;08.08.2003;2;11496.83;11578.75;11558.45;482.44;498.55
XU100;11.08.2003;1;11467.79;11578.66;11545.12;481.86;500.65
XU100;11.08.2003;2;11480.21;11764.52;11762.29;490.93;510.07
XU100;12.08.2003;1;11721.5;11931.19;11794.7;491.85;508.51
XU100;12.08.2003;2;11776.67;11922.99;11860.11;494.58;511.33
XU100;13.08.2003;1;11860.11;12075.22;12007.32;501.55;522.13
XU100;13.08.2003;2;11858.87;12067.55;11916.14;497.74;518.16
XU100;14.08.2003;1;11728.72;11916.14;11795.3;492.27;510.34
XU100;14.08.2003;2;11669.7;11835.39;11794.89;492.26;510.32
XU100;15.08.2003;1;11660.22;11832.94;11760.34;492.85;512.57
XU100;15.08.2003;2;11737.59;11877.47;11877.47;497.76;517.68
XU100;18.08.2003;1;11733.34;11893.24;11775.99;493.31;515.71
XU100;18.08.2003;2;11600.88;11775.99;11661.22;488.51;510.68
XU100;19.08.2003;1;11478.68;11661.22;11542.68;481.01;508.2
XU100;19.08.2003;2;11514.58;11697.35;11688.9;487.11;514.64
XU100;20.08.2003;1;11658.51;11751.34;11703.7;488.98;515.82
XU100;20.08.2003;2;11514.22;11717.36;11556.98;482.85;509.36
XU100;21.08.2003;1;11519.41;11663.6;11595.16;485.35;517.02
XU100;21.08.2003;2;11547.93;11845.94;11845.94;495.85;528.2
XU100;22.08.2003;1;11766.16;11940.73;11792.58;495.1;531.47
XU100;22.08.2003;2;11761.62;12020.11;12001.08;503.86;540.86
XU100;25.08.2003;1;11852.6;12058.04;11938.75;502.5;540.3
XU100;25.08.2003;2;11751.96;12074.48;11797.97;496.58;533.93
XU100;26.08.2003;1;11664.93;11797.97;11761.39;495.52;535.99
XU100;26.08.2003;2;11659.9;11789.55;11735.19;494.42;534.8
XU100;27.08.2003;1;11510.7;11735.19;11527.16;481.8;518.52
XU100;27.08.2003;2;11494.03;11632.67;11623.36;485.82;522.85
XU100;28.08.2003;1;11461.48;11668.51;11507.71;478.31;516.95
XU100;28.08.2003;2;11411.74;11588.83;11508.97;478.36;517
XU100;29.08.2003;1;11487.42;11704.02;11619.64;485.81;521.88
XU100;29.08.2003;2;11539.77;11627.41;11611.84;485.48;521.53
XU100;01.09.2003;1;11571.26;11687.06;11650.76;489.88;522.89
XU100;01.09.2003;2;11591.39;11680.66;11652.83;489.97;522.98
XU100;02.09.2003;1;11640.56;11755.83;11702.03;491.04;530.02
XU100;02.09.2003;2;11579.02;11762.12;11637.09;488.32;527.08
XU100;03.09.2003;1;11601.05;11698.9;11618.75;487.49;529.16
XU100;03.09.2003;2;11605.81;11680.79;11671.78;489.71;531.57
XU100;04.09.2003;1;11543.22;11707.23;11632.28;490.37;530.42
XU100;04.09.2003;2;11569.95;11692.03;11636.48;490.55;530.61
XU100;05.09.2003;1;11566.66;11649.35;11604.52;490.43;525.78
XU100;05.09.2003;2;11581.07;11682.65;11631.78;491.58;527.01
XU100;08.09.2003;1;11516.69;11645.95;11561.38;488.97;517.63
XU100;08.09.2003;2;11514.58;11587.69;11581.34;489.82;518.53
XU100;09.09.2003;1;11469.84;11668.96;11658.79;491.13;517.53
XU100;09.09.2003;2;11646.03;11946.68;11946.68;503.26;530.31
XU100;10.09.2003;1;11946.68;12382.44;12382.44;523.48;547.68
XU100;10.09.2003;2;12188.61;12425.03;12317.68;520.74;544.82
XU100;11.09.2003;1;12215.76;12380.16;12308.58;519.61;541.84
XU100;11.09.2003;2;12265.41;12507.02;12507.02;527.98;550.58
XU100;12.09.2003;1;12507.02;12774.05;12739.61;541.43;568.04
XU100;12.09.2003;2;12664.39;12805.58;12715.18;540.39;566.95
XU100;15.09.2003;1;12710.15;12876.34;12739.11;541.9;563.49
XU100;15.09.2003;2;12604.2;12746.62;12662.47;538.64;560.1
XU100;16.09.2003;1;12602.95;12806.22;12714.34;541.63;564.86
XU100;16.09.2003;2;12704.51;13005.03;13005.03;554.02;577.77
XU100;17.09.2003;1;13004.37;13205.93;13131.4;558.87;585.34
XU100;17.09.2003;2;12872.78;13183.36;12958.17;551.5;577.62
XU100;18.09.2003;1;12958.17;13181.28;13181.28;561.18;583.17
XU100;18.09.2003;2;13117.22;13456.43;13419.28;571.31;593.7
XU100;19.09.2003;1;13353.86;13627.24;13622.74;581.61;603.86
XU100;19.09.2003;2;13452.22;13663.53;13663.53;583.35;605.67
XU100;22.09.2003;1;13663.53;14148.2;14097.66;607.14;620.48
XU100;22.09.2003;2;13758.54;14097.66;13845.02;596.26;609.36
XU100;23.09.2003;1;13689.36;13907.28;13789.05;595.66;607.89
XU100;23.09.2003;2;13699.02;14102.88;14031.06;606.11;618.56
XU100;24.09.2003;1;13843;14117.14;13954.34;602.36;615.53
XU100;24.09.2003;2;13713.77;13955.94;13798.3;595.62;608.65
XU100;25.09.2003;1;13603.41;13843.81;13828.48;589.48;601.44
XU100;25.09.2003;2;13740.74;13976.17;13935.67;594.05;606.1
XU100;26.09.2003;1;13707.79;13944.87;13814.87;589.27;601.48
XU100;26.09.2003;2;13699.22;13815.69;13758.78;586.88;599.04
XU100;29.09.2003;1;13480.4;13758.78;13567.05;573.86;589.29
XU100;29.09.2003;2;13166.46;13567.05;13255.87;560.7;575.77
XU100;30.09.2003;1;13118.1;13412.19;13118.1;551.79;554.3
XU100;30.09.2003;2;12833.87;13125.27;13055.9;549.18;551.67
XU100;01.10.2003;1;13007.82;13195.64;13057.91;548.32;550.24
XU100;01.10.2003;2;13044.9;13444.01;13444.01;564.53;566.51
XU100;02.10.2003;1;13240.88;13522.13;13458.64;560.04;560.56
XU100;02.10.2003;2;13458.64;13880.49;13880.49;577.59;578.13
XU100;03.10.2003;1;13880.49;14417.23;14354.21;601.76;602.63
XU100;03.10.2003;2;14090.79;14374.79;14210.22;595.72;596.59
XU100;06.10.2003;1;14210.22;15488.51;15337.02;656.17;663.87
XU100;06.10.2003;2;15245.56;15719.71;15719.71;672.55;680.44
XU100;07.10.2003;1;15719.71;16442.73;16093.92;683.04;680.13
XU100;07.10.2003;2;15387.26;16098.42;15482.66;657.1;654.3
XU100;08.10.2003;1;15276.66;15699.86;15368.24;652.59;647.94
XU100;08.10.2003;2;15069.63;15585.71;15147.76;643.23;638.64
XU100;09.10.2003;1;14834.94;15215.49;14844.18;627.39;621.86
XU100;09.10.2003;2;14779.86;15008.86;14906.97;630.04;624.5
XU100;10.10.2003;1;14906.76;15195.92;15100.87;635.87;633.54
XU100;10.10.2003;2;15026.84;15461.11;15420.6;649.33;646.96
XU100;13.10.2003;1;15273.11;15692.1;15333.65;641.38;642.42
XU100;13.10.2003;2;15014.1;15348.28;15064.83;630.14;631.16
XU100;14.10.2003;1;14740.85;15122.96;14920.76;616.55;620.52
XU100;14.10.2003;2;14913.25;15317.17;15023;620.78;624.77
XU100;15.10.2003;1;15023;15461.35;15307.88;635.96;637.48
XU100;15.10.2003;2;15183.28;15382.24;15382.24;639.05;640.58
XU100;16.10.2003;1;15382.24;15677.95;15641.32;647.13;652.58
XU100;16.10.2003;2;15479.49;15755.71;15596.8;645.29;650.73
XU100;17.10.2003;1;15283.64;15598.57;15296.14;622.18;628.77
XU100;17.10.2003;2;15205.41;15390.63;15381.93;625.67;632.3
XU100;20.10.2003;1;15228.13;15453.43;15321.88;614.5;617.71
XU100;20.10.2003;2;15222.88;15428.67;15358.65;615.98;619.19
XU100;21.10.2003;1;15235.9;15408.22;15361.1;617.07;621.09
XU100;21.10.2003;2;15325.86;15653.48;15595.26;626.47;630.56
XU100;22.10.2003;1;15391.03;15664.76;15419.89;611.4;612.91
XU100;22.10.2003;2;15250.66;15465.42;15300.35;606.66;608.16
XU100;23.10.2003;1;14993.33;15374.04;15058.42;597.55;593.19
XU100;23.10.2003;2;14691.08;15058.42;14829.49;588.46;584.17
